,typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
0,C,A,20170101,2017,52,2017,32,,,X,,36,,,0,,,H4,HS,True,283691,,,,C00,,0 ,0,,8,,80200.0,False,8,,80200.0,False,80200.0,False,,False,,397780.66,397780.66,0,True,False
1,C,A,20170101,2017,52,2017,32,,,X,,56,,,0,,,H4,HS,True,283691,,,,C00,,0 ,0,,8,,1432020.0,False,8,,1432020.0,False,1432020.0,False,,False,,13550454.32,13550454.32,0,True,False
2,C,A,20170101,2017,52,2017,32,,,X,,152,,,0,,,H4,HS,True,283691,,,,C00,,0 ,0,,8,,1575.0,False,8,,1575.0,False,1575.0,False,,False,,59754.0,59754.0,0,True,False
3,C,A,20170101,2017,52,2017,32,,,X,,156,,,0,,,H4,HS,True,283691,,,,C00,,0 ,0,,8,,5703800.0,False,8,,5703800.0,False,5703800.0,False,,False,,30213915.91,30213915.91,0,True,False
4,C,A,20170101,2017,52,2017,32,,,X,,170,,,0,,,H4,HS,True,283691,,,,C00,,0 ,0,,8,,225.0,False,8,,225.0,False,225.0,False,,False,,9848.0,9848.0,0,True,False
5,C,A,20170101,2017,52,2017,32,,,X,,251,,,0,,,H4,HS,True,283691,,,,C00,,0 ,0,,8,,40000.0,False,8,,40000.0,False,40000.0,False,,False,,431480.0,431480.0,0,True,False
6,C,A,20170101,2017,52,2017,32,,,X,,392,,,0,,,H4,HS,True,283691,,,,C00,,0 ,0,,8,,7882890.0,False,8,,7882890.0,False,7882890.0,False,,False,,83774641.12,83774641.12,0,True,False
7,C,A,20170101,2017,52,2017,32,,,X,,410,,,0,,,H4,HS,True,283691,,,,C00,,0 ,0,,8,,2335610.0,False,8,,2335610.0,False,2335610.0,False,,False,,24494443.86,24494443.86,0,True,False
8,C,A,20170101,2017,52,2017,32,,,X,,428,,,0,,,H4,HS,True,283691,,,,C00,,0 ,0,,8,,19860.0,False,8,,19860.0,False,19860.0,False,,False,,260761.8,260761.8,0,True,False
9,C,A,20170101,2017,52,2017,32,,,X,,600,,,0,,,H4,HS,True,283691,,,,C00,,0 ,0,,8,,0.2,False,8,,0.2,False,0.2,False,,False,,18.4,18.4,0,True,False
