,typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
0,C,A,20180101,2018,52,2018,36,,,X,,360,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,3465.0,False,8,,3465.0,False,3465.0,False,3465.0,False,,43272.171,43272.171,0,False,True
1,C,A,20180101,2018,52,2018,36,,,X,,554,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,2435.0,False,8,,2435.0,False,2435.0,False,2435.0,False,,29429.649,29429.649,0,False,True
2,C,A,20180101,2018,52,2018,36,,,X,,784,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,2400.0,False,8,,2400.0,False,2400.0,False,2400.0,False,,18925.411,18925.411,0,False,True
3,C,A,20180101,2018,52,2018,40,,,X,,12,,,0,,,H5,HS,True,283691,,,,C00,,0 ,0,,8,,0.058,True,-1,,0.0,False,0.058,True,,False,,1.181,1.181,0,True,False
4,C,A,20180101,2018,52,2018,40,,,X,,112,,,0,,,H5,HS,True,283691,,,,C00,,0 ,0,,8,,9.556,True,-1,,0.0,False,9.556,True,,False,,196.108,196.108,0,True,False
5,C,A,20180101,2018,52,2018,40,,,X,,156,,,0,,,H5,HS,True,283691,,,,C00,,0 ,0,,8,,1000.0,False,8,,1000.0,False,1000.0,False,,False,,17838.739,17838.739,0,True,False
6,C,A,20180101,2018,52,2018,40,,,X,,203,,,0,,,H5,HS,True,283691,,,,C00,,0 ,0,,8,,534.0,False,8,,534.0,False,534.0,False,,False,,13542.084,13542.084,0,True,False
7,C,A,20180101,2018,52,2018,40,,,X,,276,,,0,,,H5,HS,True,283691,,,,C00,,0 ,0,,8,,16.0,False,8,,16.0,False,16.0,False,,False,,102.779,102.779,0,True,False
8,C,A,20180101,2018,52,2018,40,,,X,,348,,,0,,,H5,HS,True,283691,,,,C00,,0 ,0,,8,,2000.0,False,8,,2000.0,False,2000.0,False,,False,,41929.305,41929.305,0,True,False
9,C,A,20180101,2018,52,2018,40,,,X,,440,,,0,,,H5,HS,True,283691,,,,C00,,0 ,0,,8,,33.0,False,8,,33.0,False,33.0,False,,False,,203.196,203.196,0,True,False
10,C,A,20180101,2018,52,2018,40,,,X,,642,,,0,,,H5,HS,True,283691,,,,C00,,0 ,0,,8,,40.0,False,8,,40.0,False,40.0,False,,False,,526.893,526.893,0,True,False
11,C,A,20180101,2018,52,2018,40,,,X,,705,,,0,,,H5,HS,True,283691,,,,C00,,0 ,0,,8,,1550.0,False,8,,1550.0,False,1550.0,False,,False,,36151.208,36151.208,0,True,False
12,C,A,20180101,2018,52,2018,40,,,X,,757,,,0,,,H5,HS,True,283691,,,,C00,,0 ,0,,8,,2.0,False,8,,2.0,False,2.0,False,,False,,28.353,28.353,0,True,False
13,C,A,20180101,2018,52,2018,40,,,X,,792,,,0,,,H5,HS,True,283691,,,,C00,,0 ,0,,8,,400.0,False,8,,400.0,False,400.0,False,,False,,4294.292,4294.292,0,True,False
14,C,A,20180101,2018,52,2018,40,,,X,,807,,,0,,,H5,HS,True,283691,,,,C00,,0 ,0,,8,,1.0,False,8,,1.0,False,1.0,False,,False,,77.971,77.971,0,True,False
15,C,A,20180101,2018,52,2018,40,,,X,,842,,,0,,,H5,HS,True,283691,,,,C00,,0 ,0,,8,,33.0,False,8,,33.0,False,33.0,False,,False,,413.481,413.481,0,True,False
16,C,A,20180101,2018,52,2018,56,,,X,,32,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,10800.0,False,8,,10800.0,False,10800.0,False,0.0,False,0.0,188079.873,188079.873,0,True,False
17,C,A,20180101,2018,52,2018,56,,,X,,36,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,0.5,False,8,,0.5,False,0.5,False,0.0,False,0.0,54.387,54.387,0,True,False
18,C,A,20180101,2018,52,2018,56,,,X,,40,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,3267.06,False,8,,3267.06,False,3267.06,False,0.0,False,0.0,58931.063,58931.063,0,True,False
19,C,A,20180101,2018,52,2018,56,,,X,,100,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,1.02,False,8,,1.02,False,1.02,False,0.0,False,0.0,30.07,30.07,0,True,False
20,C,A,20180101,2018,52,2018,56,,,X,,124,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,3.25,False,8,,3.25,False,3.25,False,0.0,False,0.0,200.284,200.284,0,True,False
21,C,A,20180101,2018,52,2018,56,,,X,,156,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,3.7,False,8,,3.7,False,3.7,False,0.0,False,0.0,464.797,464.797,0,True,False
22,C,A,20180101,2018,52,2018,56,,,X,,203,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,29798.51,False,8,,29798.51,False,29798.51,False,0.0,False,0.0,509733.733,509733.733,0,True,False
23,C,A,20180101,2018,52,2018,56,,,X,,208,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,3669.0,False,8,,3669.0,False,3669.0,False,0.0,False,0.0,71389.546,71389.546,0,True,False
24,C,A,20180101,2018,52,2018,56,,,X,,233,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,1839.06,False,8,,1839.06,False,1839.06,False,0.0,False,0.0,39004.21,39004.21,0,True,False
25,C,A,20180101,2018,52,2018,56,,,X,,246,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,2720.21,False,8,,2720.21,False,2720.21,False,0.0,False,0.0,19425.05,19425.05,0,True,False
26,C,A,20180101,2018,52,2018,56,,,X,,251,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,1274122.7,False,8,,1274122.7,False,1274122.7,False,0.0,False,0.0,18636747.291,18636747.291,0,True,False
27,C,A,20180101,2018,52,2018,56,,,X,,276,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,1609516.5,False,8,,1609516.5,False,1609516.5,False,0.0,False,0.0,15705358.41,15705358.41,0,True,False
28,C,A,20180101,2018,52,2018,56,,,X,,300,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,122.6,False,8,,122.6,False,122.6,False,0.0,False,0.0,488.912,488.912,0,True,False
29,C,A,20180101,2018,52,2018,56,,,X,,348,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,53608.56,False,8,,53608.56,False,53608.56,False,0.0,False,0.0,1015238.638,1015238.638,0,True,False
30,C,A,20180101,2018,52,2018,56,,,X,,372,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,2.07,False,8,,2.07,False,2.07,False,0.0,False,0.0,113.724,113.724,0,True,False
31,C,A,20180101,2018,52,2018,56,,,X,,376,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,2017.0,False,8,,2017.0,False,2017.0,False,0.0,False,0.0,7218.131,7218.131,0,True,False
32,C,A,20180101,2018,52,2018,56,,,X,,380,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,235817.88,False,8,,235817.88,False,235817.88,False,0.0,False,0.0,4028372.724,4028372.724,0,True,False
33,C,A,20180101,2018,52,2018,56,,,X,,410,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,0.9,False,8,,0.9,False,0.9,False,0.0,False,0.0,192.58,192.58,0,True,False
34,C,A,20180101,2018,52,2018,56,,,X,,430,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,7.2,False,8,,7.2,False,7.2,False,0.0,False,0.0,110.652,110.652,0,True,False
35,C,A,20180101,2018,52,2018,56,,,X,,440,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,161.31,False,8,,161.31,False,161.31,False,0.0,False,0.0,510.287,510.287,0,True,False
36,C,A,20180101,2018,52,2018,56,,,X,,442,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,825.55,False,8,,825.55,False,825.55,False,0.0,False,0.0,4181.815,4181.815,0,True,False
37,C,A,20180101,2018,52,2018,56,,,X,,470,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,28.71,False,8,,28.71,False,28.71,False,0.0,False,0.0,128.422,128.422,0,True,False
