,typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
0,C,A,20210101,2021,52,2021,36,,,X,,251,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,11600.0,False,8,,11600.0,False,11600.0,False,12325.0,False,,316310.34,316310.34,0,False,True
1,C,A,20210101,2021,52,2021,36,,,X,,554,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,11248.0,False,8,,11248.0,False,11248.0,False,11248.0,False,,20465.372,20465.372,0,False,True
2,C,A,20210101,2021,52,2021,36,,,X,,699,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,8000.0,False,8,,8000.0,False,8000.0,False,8000.0,False,,7451.787,7451.787,0,False,True
3,C,A,20210101,2021,52,2021,36,,,X,,724,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,1.0,False,8,,1.0,False,1.0,False,1.0,False,,132.209,132.209,0,False,True
4,C,A,20210101,2021,52,2021,36,,,X,,842,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,12000.0,False,8,,12000.0,False,12000.0,False,12000.0,False,,85395.829,85395.829,0,False,True
5,C,A,20210101,2021,52,2021,40,,,X,,203,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,16961.0,False,8,,16961.0,False,16961.0,False,0.0,False,,218953.617,218953.617,0,True,False
6,C,A,20210101,2021,52,2021,40,,,X,,276,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,151.0,False,8,,151.0,False,151.0,False,0.0,False,,2013.024,2013.024,0,True,False
7,C,A,20210101,2021,52,2021,40,,,X,,300,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,14.0,False,8,,14.0,False,14.0,False,0.0,False,,82.792,82.792,0,True,False
8,C,A,20210101,2021,52,2021,40,,,X,,348,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,2305.0,False,8,,2305.0,False,2305.0,False,0.0,False,,21828.655,21828.655,0,True,False
9,C,A,20210101,2021,52,2021,40,,,X,,360,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,300.0,False,8,,300.0,False,300.0,False,0.0,False,,4080.454,4080.454,0,True,False
10,C,A,20210101,2021,52,2021,40,,,X,,380,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,60.0,False,8,,60.0,False,60.0,False,0.0,False,,1666.481,1666.481,0,True,False
11,C,A,20210101,2021,52,2021,40,,,X,,440,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,1003.0,False,8,,1003.0,False,1003.0,False,0.0,False,,9486.76,9486.76,0,True,False
12,C,A,20210101,2021,52,2021,40,,,X,,616,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,15077.0,False,8,,15077.0,False,15077.0,False,0.0,False,,222051.214,222051.214,0,True,False
13,C,A,20210101,2021,52,2021,40,,,X,,642,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,60.0,False,8,,60.0,False,60.0,False,0.0,False,,827.918,827.918,0,True,False
