,typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
0,C,A,20190101,2019,52,2019,36,,,X,,360,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,1020.0,False,8,,1020.0,False,1020.0,False,1045.0,False,,15389.572,15389.572,0,False,True
1,C,A,20190101,2019,52,2019,36,,,X,,458,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,48.0,False,8,,48.0,False,48.0,False,48.0,False,,3225.567,3225.567,0,False,True
2,C,A,20190101,2019,52,2019,36,,,X,,554,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,14.13,False,8,,14.13,False,14.13,False,14.13,False,,10026.371,10026.371,0,False,True
3,C,A,20190101,2019,52,2019,36,,,X,,702,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,1500.0,False,8,,1500.0,False,1500.0,False,1500.0,False,,22747.897,22747.897,0,False,True
4,C,A,20190101,2019,52,2019,36,,,X,,842,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,2.0,False,8,,2.0,False,2.0,False,2.0,False,,269.029,269.029,0,False,True
5,C,A,20190101,2019,52,2019,40,,,X,,100,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,100.0,False,8,,100.0,False,100.0,False,0.0,False,,2324.248,2324.248,0,True,False
6,C,A,20190101,2019,52,2019,40,,,X,,156,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,500.0,False,8,,500.0,False,500.0,False,0.0,False,,10188.178,10188.178,0,True,False
7,C,A,20190101,2019,52,2019,40,,,X,,203,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,4629.0,False,8,,4629.0,False,4629.0,False,0.0,False,,64326.587,64326.587,0,True,False
8,C,A,20190101,2019,52,2019,40,,,X,,276,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,2722.0,False,8,,2722.0,False,2722.0,False,0.0,False,,39072.222,39072.222,0,True,False
9,C,A,20190101,2019,52,2019,40,,,X,,300,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,8.0,False,8,,8.0,False,8.0,False,0.0,False,,45.903,45.903,0,True,False
10,C,A,20190101,2019,52,2019,40,,,X,,348,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,2353.0,False,8,,2353.0,False,2353.0,False,0.0,False,,47135.437,47135.437,0,True,False
11,C,A,20190101,2019,52,2019,40,,,X,,360,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,300.0,False,8,,300.0,False,300.0,False,0.0,False,,6437.585,6437.585,0,True,False
12,C,A,20190101,2019,52,2019,40,,,X,,398,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,1.439,True,-1,,0.0,False,1.439,True,0.0,False,,22.392,22.392,6,True,False
