,typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
0,C,A,20150101,2015,52,2015,32,,,X,,36,,,0,,,H4,HS,True,283691,,,,C00,,0 ,0,,8,,85600.0,False,8,,85600.0,False,85600.0,False,,False,,405913.7,405913.7,0,True,False
1,C,A,20150101,2015,52,2015,32,,,X,,56,,,0,,,H4,HS,True,283691,,,,C00,,0 ,0,,8,,670329.0,False,8,,670329.0,False,670329.0,False,,False,,3108145.85,3108145.85,0,True,False
2,C,A,20150101,2015,52,2015,32,,,X,,152,,,0,,,H4,HS,True,283691,,,,C00,,0 ,0,,8,,1000.0,False,8,,1000.0,False,1000.0,False,,False,,24755.0,24755.0,0,True,False
3,C,A,20150101,2015,52,2015,32,,,X,,156,,,0,,,H4,HS,True,283691,,,,C00,,0 ,0,,8,,2584008.0,False,8,,2584008.0,False,2584008.0,False,,False,,12377406.67,12377406.67,0,True,False
4,C,A,20150101,2015,52,2015,32,,,X,,170,,,0,,,H4,HS,True,283691,,,,C00,,0 ,0,,8,,200.0,False,8,,200.0,False,200.0,False,,False,,5738.0,5738.0,0,True,False
5,C,A,20150101,2015,52,2015,32,,,X,,392,,,0,,,H4,HS,True,283691,,,,C00,,0 ,0,,8,,1481540.0,False,8,,1481540.0,False,1481540.0,False,,False,,6297301.0,6297301.0,0,True,False
6,C,A,20150101,2015,52,2015,32,,,X,,410,,,0,,,H4,HS,True,283691,,,,C00,,0 ,0,,8,,485003.0,False,8,,485003.0,False,485003.0,False,,False,,2288525.96,2288525.96,0,True,False
7,C,A,20150101,2015,52,2015,32,,,X,,699,,,0,,,H4,HS,True,283691,,,,C00,,0 ,0,,8,,42000.0,False,8,,42000.0,False,42000.0,False,,False,,207464.52,207464.52,0,True,False
8,C,A,20150101,2015,52,2015,32,,,X,,792,,,0,,,H4,HS,True,283691,,,,C00,,0 ,0,,8,,16000.0,False,8,,16000.0,False,16000.0,False,,False,,74481.65,74481.65,0,True,False
9,C,A,20150101,2015,52,2015,32,,,X,,842,,,0,,,H4,HS,True,283691,,,,C00,,0 ,0,,8,,8247840.0,False,8,,8247840.0,False,8247840.0,False,,False,,38325628.01,38325628.01,0,True,False
